"Notes"	"Occurrence State"	"Occurrence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2021"	"2021/01"	59	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2021"	"2021/02"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2021"	"2021/03"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2021"	"2021/04"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2021"	"2021/05"	79	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2021"	"2021/06"	76	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2021"	"2021/07"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2021"	"2021/08"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2021"	"2021/09"	84	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2021"	"2021/10"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2021"	"2021/11"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2021"	"2021/12"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2022 (provisional)"	"2022/01"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2022 (provisional)"	"2022/02"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2022 (provisional)"	"2022/03"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2022 (provisional)"	"2022/04"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2022 (provisional)"	"2022/05"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2022 (provisional)"	"2022/06"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2022 (provisional)"	"2022/07"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2022 (provisional)"	"2022/08"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2022 (provisional)"	"2022/09"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2022 (provisional)"	"2022/10"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2022 (provisional)"	"2022/11"	78	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2022 (provisional)"	"2022/12"	79	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2023 (provisional)"	"2023/01"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2023 (provisional)"	"2023/02"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2023 (provisional)"	"2023/03"	78	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2019"	"2019/01"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2019"	"2019/02"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2019"	"2019/03"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2019"	"2019/10"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2020"	"2020/05"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2020"	"2020/06"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2020"	"2020/12"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2021"	"2021/01"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2021"	"2021/03"	23	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2021"	"2021/04"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2021"	"2021/05"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2021"	"2021/06"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2021"	"2021/07"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2021"	"2021/08"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2021"	"2021/09"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2021"	"2021/10"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2021"	"2021/11"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2022 (provisional)"	"2022/02"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2022 (provisional)"	"2022/03"	23	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2022 (provisional)"	"2022/04"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2022 (provisional)"	"2022/05"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2022 (provisional)"	"2022/06"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2022 (provisional)"	"2022/07"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2022 (provisional)"	"2022/08"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2022 (provisional)"	"2022/09"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2022 (provisional)"	"2022/10"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2022 (provisional)"	"2022/11"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2022 (provisional)"	"2022/12"	24	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2023 (provisional)"	"2023/01"	22	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2023 (provisional)"	"2023/02"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2023 (provisional)"	"2023/03"	13	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2018"	"2018/01"	82	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2018"	"2018/02"	64	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2018"	"2018/03"	94	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2018"	"2018/04"	83	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2018"	"2018/05"	76	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2018"	"2018/06"	92	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2018"	"2018/07"	93	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2018"	"2018/08"	106	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2018"	"2018/09"	75	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2018"	"2018/10"	85	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2018"	"2018/11"	104	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2018"	"2018/12"	97	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2019"	"2019/01"	95	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2019"	"2019/02"	71	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2019"	"2019/03"	101	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2019"	"2019/04"	97	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2019"	"2019/05"	97	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2019"	"2019/06"	82	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2019"	"2019/07"	118	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2019"	"2019/08"	112	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2019"	"2019/09"	118	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2019"	"2019/10"	119	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2019"	"2019/11"	109	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2019"	"2019/12"	123	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2020"	"2020/01"	128	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2020"	"2020/02"	110	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2020"	"2020/03"	150	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2020"	"2020/04"	136	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2020"	"2020/05"	176	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2020"	"2020/06"	195	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2020"	"2020/07"	208	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2020"	"2020/08"	185	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2020"	"2020/09"	124	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2020"	"2020/10"	144	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2020"	"2020/11"	153	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2020"	"2020/12"	124	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2021"	"2021/01"	155	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2021"	"2021/02"	125	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2021"	"2021/03"	164	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2021"	"2021/04"	167	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2021"	"2021/05"	188	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2021"	"2021/06"	177	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2021"	"2021/07"	175	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2021"	"2021/08"	192	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2021"	"2021/09"	157	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2021"	"2021/10"	162	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2021"	"2021/11"	144	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2021"	"2021/12"	171	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2022 (provisional)"	"2022/01"	142	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2022 (provisional)"	"2022/02"	139	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2022 (provisional)"	"2022/03"	158	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2022 (provisional)"	"2022/04"	144	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2022 (provisional)"	"2022/05"	154	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2022 (provisional)"	"2022/06"	157	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2022 (provisional)"	"2022/07"	219	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2022 (provisional)"	"2022/08"	170	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2022 (provisional)"	"2022/09"	147	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2022 (provisional)"	"2022/10"	161	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2022 (provisional)"	"2022/11"	148	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2022 (provisional)"	"2022/12"	154	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2023 (provisional)"	"2023/01"	166	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2023 (provisional)"	"2023/02"	135	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2023 (provisional)"	"2023/03"	143	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2018"	"2018/01"	17	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2018"	"2018/03"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2018"	"2018/04"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2018"	"2018/05"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2018"	"2018/06"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2018"	"2018/07"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2018"	"2018/08"	19	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2018"	"2018/09"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2018"	"2018/10"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2018"	"2018/11"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2018"	"2018/12"	17	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2019"	"2019/01"	28	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2019"	"2019/02"	17	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2019"	"2019/03"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2019"	"2019/04"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2019"	"2019/05"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2019"	"2019/06"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2019"	"2019/07"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2019"	"2019/08"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2019"	"2019/09"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2019"	"2019/10"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2019"	"2019/12"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2020"	"2020/01"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2020"	"2020/02"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2020"	"2020/03"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2020"	"2020/04"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2020"	"2020/05"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2020"	"2020/06"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2020"	"2020/07"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2020"	"2020/08"	20	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2020"	"2020/09"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2020"	"2020/10"	20	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2020"	"2020/11"	19	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2020"	"2020/12"	20	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2021"	"2021/01"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2021"	"2021/02"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2021"	"2021/03"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2021"	"2021/04"	28	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2021"	"2021/05"	39	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2021"	"2021/06"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2021"	"2021/07"	20	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2021"	"2021/08"	41	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2021"	"2021/09"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2021"	"2021/10"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2021"	"2021/11"	28	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2021"	"2021/12"	38	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2022 (provisional)"	"2022/01"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2022 (provisional)"	"2022/02"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2022 (provisional)"	"2022/03"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2022 (provisional)"	"2022/04"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2022 (provisional)"	"2022/05"	31	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2022 (provisional)"	"2022/06"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2022 (provisional)"	"2022/07"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2022 (provisional)"	"2022/08"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2022 (provisional)"	"2022/09"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2022 (provisional)"	"2022/10"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2022 (provisional)"	"2022/11"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2022 (provisional)"	"2022/12"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2023 (provisional)"	"2023/01"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2023 (provisional)"	"2023/02"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2023 (provisional)"	"2023/03"	17	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2018"	"2018/01"	183	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2018"	"2018/02"	159	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2018"	"2018/03"	178	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2018"	"2018/04"	173	Not Applicable	Not Applicable
	"California"	"06"	"May, 2018"	"2018/05"	160	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2018"	"2018/06"	190	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2018"	"2018/07"	185	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2018"	"2018/08"	202	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2018"	"2018/09"	209	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2018"	"2018/10"	185	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2018"	"2018/11"	162	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2018"	"2018/12"	202	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2019"	"2019/01"	215	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2019"	"2019/02"	214	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2019"	"2019/03"	254	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2019"	"2019/04"	225	Not Applicable	Not Applicable
	"California"	"06"	"May, 2019"	"2019/05"	230	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2019"	"2019/06"	251	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2019"	"2019/07"	267	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2019"	"2019/08"	311	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2019"	"2019/09"	263	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2019"	"2019/10"	270	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2019"	"2019/11"	303	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2019"	"2019/12"	271	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2020"	"2020/01"	311	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2020"	"2020/02"	338	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2020"	"2020/03"	390	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2020"	"2020/04"	413	Not Applicable	Not Applicable
	"California"	"06"	"May, 2020"	"2020/05"	474	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2020"	"2020/06"	463	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2020"	"2020/07"	542	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2020"	"2020/08"	602	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2020"	"2020/09"	447	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2020"	"2020/10"	470	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2020"	"2020/11"	454	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2020"	"2020/12"	478	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2021"	"2021/01"	624	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2021"	"2021/02"	503	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2021"	"2021/03"	596	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2021"	"2021/04"	616	Not Applicable	Not Applicable
	"California"	"06"	"May, 2021"	"2021/05"	617	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2021"	"2021/06"	638	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2021"	"2021/07"	612	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2021"	"2021/08"	642	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2021"	"2021/09"	592	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2021"	"2021/10"	613	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2021"	"2021/11"	564	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2021"	"2021/12"	543	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2022 (provisional)"	"2022/01"	583	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2022 (provisional)"	"2022/02"	589	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2022 (provisional)"	"2022/03"	617	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2022 (provisional)"	"2022/04"	625	Not Applicable	Not Applicable
	"California"	"06"	"May, 2022 (provisional)"	"2022/05"	604	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2022 (provisional)"	"2022/06"	577	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2022 (provisional)"	"2022/07"	629	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2022 (provisional)"	"2022/08"	628	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2022 (provisional)"	"2022/09"	632	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2022 (provisional)"	"2022/10"	608	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2022 (provisional)"	"2022/11"	581	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2022 (provisional)"	"2022/12"	653	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2023 (provisional)"	"2023/01"	637	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2023 (provisional)"	"2023/02"	532	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2023 (provisional)"	"2023/03"	478	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2018"	"2018/01"	52	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2018"	"2018/02"	44	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2018"	"2018/03"	47	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2018"	"2018/04"	42	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2018"	"2018/05"	46	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2018"	"2018/06"	37	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2018"	"2018/07"	43	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2018"	"2018/08"	47	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2018"	"2018/09"	34	Not Applicable	Not Applicable
	"Colorado"	"08"	"Oct., 2018"	"2018/10"	40	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nov., 2018"	"2018/11"	36	Not Applicable	Not Applicable
	"Colorado"	"08"	"Dec., 2018"	"2018/12"	51	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2019"	"2019/01"	51	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2019"	"2019/02"	42	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2019"	"2019/03"	39	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2019"	"2019/04"	48	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2019"	"2019/05"	47	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2019"	"2019/06"	43	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2019"	"2019/07"	59	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2019"	"2019/08"	48	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2019"	"2019/09"	45	Not Applicable	Not Applicable
