Recidivism_Arrest_Year1,Training_Sample,Gang_Affiliated,Supervision_Risk_Score_First,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_PPViolationCharges,Residence_PUMA,Gender,Race,Age_at_Release,Supervision_Level_First,Education_Level,Prison_Offense,Prison_Years,Dependents,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug
0,1,0,3,0,1,0,1,16,1,0,0,0,0,2,1,0,10,6,0,5,1,5,2,4,3,0
0,1,0,3,1,0,1,1,5,1,1,2,0,1,3,0,3,6,6,3,1,0,3,3,2,0,0
0,1,0,5,0,0,0,1,16,1,1,3,0,0,0,1,3,10,6,0,1,5,5,2,4,0,2
0,0,-1,4,1,0,1,0,5,0,0,0,-1,1,3,1,0,2,6,3,5,0,1,2,2,1,0
0,1,-1,5,1,0,0,1,16,0,0,1,0,0,1,1,0,10,6,3,5,1,5,3,3,2,1
1,1,0,5,1,0,1,1,18,1,1,2,0,0,0,0,3,10,6,3,1,5,5,3,4,1,2
1,1,0,2,0,0,0,1,17,1,0,0,-1,0,2,1,1,9,5,0,5,0,5,3,4,3,0
0,0,0,2,0,0,0,1,14,1,0,0,2,0,0,1,0,9,6,0,0,2,5,3,4,0,2
0,0,0,3,0,0,1,1,23,1,0,0,0,0,1,1,0,10,6,3,5,1,5,3,4,3,1
0,1,0,6,0,1,0,1,6,1,1,1,1,1,2,2,0,7,6,0,5,0,2,2,3,3,0
1,1,0,10,0,0,0,0,2,1,1,6,2,0,2,1,0,5,2,0,2,4,1,0,0,0,0
1,0,0,10,1,1,0,1,14,1,0,1,2,2,2,1,0,10,6,3,5,0,5,3,4,3,0
0,1,-1,9,0,0,1,1,16,0,0,1,2,0,2,1,0,10,6,2,5,0,4,3,4,3,0
0,1,1,8,0,1,1,1,25,1,0,1,0,1,0,1,1,10,2,3,4,2,5,3,3,1,2
1,1,-1,10,0,0,0,1,12,0,0,2,2,2,2,1,3,10,6,0,5,5,5,1,4,3,2
1,0,0,4,0,1,0,1,14,1,0,3,0,0,0,0,0,5,6,1,0,4,5,3,4,0,2
0,1,0,2,0,0,0,1,10,1,1,0,0,0,0,0,0,10,6,1,5,4,4,3,4,3,1
0,1,0,3,0,0,1,1,14,1,0,1,-1,1,0,0,2,10,6,3,1,5,5,3,4,0,2
0,1,1,6,0,0,0,1,3,1,1,3,1,0,2,2,0,10,6,0,5,0,5,2,4,3,0
0,1,0,3,0,0,1,1,12,1,1,3,0,1,3,0,3,8,6,2,2,1,5,3,4,2,1
0,1,-1,2,0,0,0,0,2,0,1,2,0,2,2,1,1,2,0,0,1,0,0,0,0,0,0
1,1,0,10,0,0,1,1,14,1,0,3,2,1,2,3,1,10,6,1,5,1,5,3,4,3,0
0,1,0,3,0,1,1,1,3,1,1,0,2,1,3,1,3,9,4,3,0,0,4,2,1,0,0
1,0,-1,2,0,0,0,1,16,0,0,1,0,2,2,0,0,10,6,3,5,1,5,3,2,3,0
1,0,0,9,0,1,1,1,16,1,0,3,2,1,3,0,3,10,6,2,4,4,5,3,4,1,2
0,0,1,5,0,1,1,1,21,1,1,1,-1,1,0,1,0,8,6,3,2,2,5,3,2,1,2
0,0,0,4,0,0,1,1,24,1,1,2,2,0,3,2,3,5,4,1,1,0,3,2,2,0,0
0,1,0,4,0,0,0,1,12,1,0,2,0,1,0,0,2,4,6,0,2,3,4,2,4,1,2
0,1,0,3,0,0,0,0,4,1,0,2,2,1,4,1,1,3,0,0,1,0,0,0,0,0,0
1,0,0,4,0,1,0,1,16,1,0,3,0,1,1,0,3,6,2,0,2,2,1,3,1,2,1
0,1,0,9,0,0,0,0,17,1,1,2,2,0,0,2,0,7,6,1,3,3,0,3,1,0,2
0,1,-1,7,0,1,0,1,9,0,0,1,1,2,2,1,0,10,6,0,5,5,5,3,4,3,2
1,1,0,9,0,0,0,1,14,1,0,3,2,2,0,0,0,10,6,1,5,4,5,3,4,3,2
0,1,0,8,1,0,1,1,21,1,0,6,2,2,1,1,3,6,3,1,1,1,4,3,2,1,1
0,1,0,5,0,0,0,1,3,1,1,0,0,0,0,0,3,10,6,2,5,5,5,3,4,3,2
0,1,0,5,0,0,0,1,3,1,1,2,2,1,2,1,3,8,6,0,5,1,5,3,4,3,1
1,1,0,8,1,0,1,0,4,1,1,5,1,0,-1,2,3,4,2,2,0,3,2,1,3,0,1
0,1,0,-1,0,0,0,1,3,1,1,2,1,1,4,1,0,10,6,2,0,2,5,3,3,0,0
0,0,0,7,0,1,1,1,17,1,0,3,1,0,2,1,1,4,5,0,1,0,5,2,4,2,0
0,0,0,5,1,0,1,1,6,1,1,2,0,2,3,2,0,10,6,3,5,1,5,1,4,1,0
1,1,0,7,0,0,0,0,3,1,1,3,1,1,-1,1,3,6,6,0,1,5,4,3,0,1,2
0,0,0,6,0,1,0,1,3,1,0,1,1,0,-1,1,3,6,6,0,0,5,3,3,4,0,2
0,1,0,9,0,0,0,0,5,1,1,3,2,0,2,2,1,7,5,1,2,5,3,2,4,1,2
0,1,-1,3,0,0,0,1,3,0,0,0,-1,0,2,0,0,10,5,0,5,0,5,3,4,3,0
0,0,0,3,0,0,0,1,5,1,1,1,0,1,2,0,2,10,6,2,5,5,5,2,4,2,1
0,1,-1,7,1,0,0,1,6,0,0,1,0,1,1,2,2,10,6,3,5,1,5,2,2,2,1
1,1,-1,7,0,0,0,0,19,0,0,0,1,1,2,1,0,4,3,0,2,1,2,3,1,2,1
1,1,1,10,0,0,0,1,9,1,1,3,2,2,2,1,0,10,6,0,5,4,5,3,4,3,2
0,0,0,7,1,0,1,1,20,1,1,4,1,0,0,1,3,4,5,0,2,1,2,2,4,2,0
0,1,0,-1,0,0,1,1,3,1,1,3,0,1,0,0,2,10,6,1,5,1,5,2,4,0,1
0,1,0,6,0,0,0,1,3,1,1,3,1,1,-1,3,3,10,6,3,3,4,5,1,4,1,2
0,1,-1,3,0,0,0,1,25,0,0,0,0,0,-1,1,0,7,5,0,4,1,3,3,4,3,1
0,1,0,-1,0,1,0,1,12,1,0,2,-1,1,3,0,2,8,6,2,1,4,5,2,4,1,0
0,0,0,8,0,1,0,1,14,1,0,3,2,0,1,2,0,10,6,1,5,0,5,2,3,2,0
0,1,0,10,0,0,0,0,6,1,1,3,0,0,2,1,3,8,1,0,5,1,1,3,0,3,0
1,1,0,7,0,1,1,1,12,1,0,2,1,1,2,0,3,10,6,3,5,4,5,3,4,3,2
1,1,0,5,1,1,1,1,4,1,1,1,0,1,-1,3,0,6,6,3,2,4,2,3,4,0,2
0,1,0,10,0,0,0,0,6,1,0,1,2,2,-1,3,3,10,6,0,5,1,4,3,2,3,0
0,1,-1,9,0,0,0,0,9,0,0,1,2,1,2,1,2,10,3,1,5,5,3,3,2,3,2
0,1,0,9,0,0,0,1,5,1,1,3,2,0,2,3,1,8,5,1,2,4,5,3,4,2,2
0,1,0,5,0,0,0,1,12,1,1,3,0,1,2,1,2,6,4,1,2,2,1,1,2,1,1
1,0,0,5,1,0,1,1,12,1,1,3,0,1,3,1,0,10,6,3,5,2,5,3,4,3,1
1,1,0,1,0,0,0,1,3,1,1,3,0,1,2,2,1,10,1,3,4,0,5,3,3,3,0
1,0,0,10,0,0,0,1,12,1,0,0,0,2,2,1,3,10,6,2,5,1,5,3,2,3,0
0,1,0,7,0,1,1,1,3,1,1,2,1,1,0,2,0,10,2,2,2,5,5,2,2,1,2
1,1,-1,1,0,0,1,1,3,0,1,3,-1,0,2,0,3,10,6,3,5,0,5,3,4,3,0
0,1,0,6,0,0,0,1,14,1,0,1,1,1,0,1,0,9,6,1,3,3,5,2,4,2,1
0,0,0,5,0,0,0,0,14,1,0,4,0,1,0,0,0,7,6,1,4,2,1,2,4,2,2
0,1,-1,7,0,0,1,1,3,0,1,3,1,1,3,3,2,10,6,2,5,1,5,3,2,3,1
0,0,0,6,1,0,0,1,4,1,1,3,1,1,0,1,1,10,6,2,5,2,5,3,4,2,1
0,1,0,1,0,1,0,1,3,1,1,1,1,1,0,1,3,7,6,3,0,4,4,1,1,0,2
0,1,0,9,0,0,0,0,4,1,0,3,0,1,2,1,1,8,5,0,5,2,3,2,2,3,0
0,1,0,5,0,1,1,1,3,1,1,2,0,0,0,0,2,10,6,2,1,1,5,0,3,0,0
0,1,0,4,0,1,0,0,16,1,0,3,0,1,1,0,2,6,2,1,1,0,2,1,1,1,0
1,1,0,6,0,1,0,1,6,1,0,4,1,1,2,0,0,10,6,2,4,4,5,1,4,2,2
0,1,0,6,0,0,1,0,6,1,1,3,1,0,-1,1,0,10,1,2,1,5,1,3,0,0,2
1,1,0,10,1,0,0,1,14,1,0,1,2,1,2,1,0,10,6,0,5,2,5,3,3,3,1
0,1,-1,10,0,0,0,1,4,0,0,4,2,0,2,2,1,10,6,0,4,2,5,2,3,3,2
1,0,0,8,0,1,0,1,24,1,0,3,1,1,1,1,0,6,5,0,0,5,3,2,3,0,2
0,1,0,6,0,0,0,1,5,1,0,0,1,1,2,2,3,10,6,0,5,0,3,2,4,3,0
0,1,0,6,0,1,0,1,11,1,0,0,2,1,0,3,1,10,6,2,0,5,5,3,4,0,2
0,1,-1,5,0,0,0,1,12,0,1,3,0,2,2,0,0,4,2,0,3,0,3,2,1,2,0
0,0,0,3,0,0,0,0,17,1,0,0,0,1,0,0,2,9,5,1,4,5,2,3,3,3,2
0,0,0,4,1,0,1,1,16,1,0,2,0,0,-1,0,3,5,2,3,0,3,1,3,1,0,1
0,1,0,8,0,0,1,1,6,1,1,3,1,1,3,2,2,7,6,2,3,0,5,1,2,1,0
0,0,-1,6,0,0,1,0,11,0,1,1,1,0,2,0,3,10,6,2,5,2,2,3,2,3,2
0,0,0,2,0,0,0,1,17,1,0,1,0,1,2,0,3,10,6,1,5,1,5,3,4,3,2
0,0,-1,8,0,0,0,1,16,0,0,2,0,0,0,0,0,10,6,2,4,3,5,3,4,3,2
0,1,0,4,0,0,1,0,6,1,1,0,0,1,-1,1,3,3,1,0,0,4,0,2,1,0,2
0,1,-1,10,0,0,0,1,16,0,0,1,2,0,2,2,1,10,6,1,5,2,5,3,4,3,1
1,1,0,4,0,0,1,1,11,1,1,0,0,0,3,3,0,10,6,3,5,3,5,3,4,3,1
0,1,0,6,0,0,1,1,17,1,0,3,1,1,-1,1,1,10,6,2,1,5,5,3,4,0,2
0,1,0,10,0,0,0,1,21,1,1,2,2,2,2,1,0,10,1,0,5,0,1,3,1,3,0
1,1,1,10,0,0,0,1,25,1,0,3,2,0,2,1,3,10,6,1,5,2,5,3,4,3,2
0,1,0,3,0,0,0,1,5,1,1,1,-1,1,0,2,1,10,6,0,1,5,5,3,4,0,2
0,1,1,8,0,0,1,1,12,1,0,2,1,0,2,0,0,10,5,3,5,0,5,3,2,3,0
0,1,0,8,1,0,0,1,16,1,0,0,-1,0,-1,0,3,10,6,3,5,1,5,3,4,3,0
1,1,0,4,1,1,1,0,16,1,1,0,2,1,2,2,3,10,6,3,5,2,4,3,1,3,1
0,0,0,2,0,1,1,1,2,1,0,0,0,0,0,1,3,4,6,2,0,2,5,3,4,0,2
0,1,0,1,0,0,0,1,16,1,1,0,0,0,0,0,0,9,6,3,3,3,5,2,4,0,2
1,0,0,3,1,0,1,1,10,1,0,0,0,1,0,0,1,10,3,2,2,3,2,3,2,1,2
0,1,0,-1,1,1,1,0,5,1,1,2,-1,2,3,2,3,9,6,2,5,1,5,3,4,3,1
0,1,0,5,0,0,0,1,3,1,1,3,-1,1,-1,1,3,5,6,0,2,4,5,2,4,1,2
0,0,0,9,1,1,0,1,5,1,1,4,2,0,3,2,3,10,6,3,4,3,5,1,4,2,1
0,1,0,10,0,1,1,1,22,1,0,3,2,1,1,2,0,10,5,1,5,2,3,1,3,3,2
0,1,0,6,0,0,1,1,1,1,0,0,1,1,2,2,2,10,6,3,5,0,5,3,4,3,0
0,1,1,10,0,0,0,1,11,1,0,3,2,1,2,2,3,8,6,0,5,1,2,3,2,3,1
0,1,-1,6,0,0,0,1,16,0,0,2,1,2,0,1,3,9,4,1,3,4,3,3,1,1,2
0,1,0,5,1,0,1,0,16,1,0,0,1,1,2,3,1,6,4,1,5,0,0,3,4,3,0
1,1,0,6,0,0,0,1,16,1,0,3,0,1,2,0,3,6,6,0,3,3,5,1,4,3,2
1,1,0,6,0,0,0,1,16,1,0,3,0,1,1,2,2,10,6,1,3,4,5,3,4,1,2
0,1,-1,8,0,0,1,0,5,0,1,1,0,0,3,1,2,1,2,1,0,0,2,1,0,0,0
1,0,1,4,0,0,0,1,15,1,0,3,0,0,0,0,3,10,6,3,5,5,5,3,4,1,2
0,1,-1,10,0,1,0,1,12,0,0,0,2,2,-1,1,0,10,6,1,5,5,3,3,4,3,2
0,1,-1,8,0,0,0,1,16,0,1,3,2,0,2,1,3,9,4,0,5,1,5,3,4,3,1
0,1,-1,10,0,0,0,1,23,0,0,2,2,1,0,3,0,10,6,0,5,1,2,3,4,3,0
0,0,0,6,0,1,0,1,16,1,0,2,2,1,-1,3,0,7,3,0,0,4,5,3,1,0,2
1,1,0,5,1,0,0,1,12,1,0,3,0,0,2,0,3,5,5,1,2,1,5,2,2,2,1
0,0,0,4,0,1,0,1,24,1,0,3,0,1,0,0,2,7,6,0,2,4,5,3,4,1,2
1,1,0,8,0,0,0,1,6,1,0,3,1,1,1,3,0,7,5,0,0,5,5,2,2,0,2
0,0,0,10,0,0,0,1,22,1,0,2,2,0,2,0,0,8,6,1,5,2,5,3,3,3,1
0,1,-1,9,0,0,0,1,16,0,0,1,2,1,0,2,3,6,4,0,1,2,4,3,2,1,2
0,1,0,-1,0,0,0,1,5,1,1,3,-1,1,0,0,3,6,4,1,0,5,5,1,2,0,2
1,1,0,6,1,0,0,1,16,1,1,0,-1,1,3,1,0,10,6,3,5,4,5,3,2,3,1
0,1,0,4,0,0,0,1,8,1,1,0,-1,0,2,2,0,10,3,0,5,3,5,3,2,3,2
0,1,0,5,1,1,1,0,14,1,0,1,0,2,3,3,1,5,6,3,3,0,2,2,1,1,0
0,1,0,8,0,0,0,1,17,1,0,2,1,1,2,0,0,10,6,1,5,1,5,3,3,3,0
0,0,0,3,0,0,0,0,14,1,0,3,0,2,0,0,3,4,4,1,1,2,0,0,3,0,0
0,1,-1,3,0,0,0,0,16,0,0,2,0,1,2,0,0,10,3,1,5,0,5,3,2,3,0
0,1,0,7,0,1,0,1,8,1,1,4,1,1,-1,3,1,10,6,0,0,5,4,3,3,0,2
1,0,0,6,0,1,0,1,3,1,0,4,2,0,4,3,3,6,6,2,2,3,5,1,2,0,1
0,1,1,5,0,0,1,0,4,1,1,3,0,0,3,3,1,6,5,2,2,2,5,3,1,1,1
0,1,0,4,0,1,0,0,4,1,1,3,0,1,0,3,0,3,0,0,0,2,1,2,1,0,2
0,1,0,2,0,0,1,0,4,1,1,0,2,0,2,3,0,10,6,2,5,1,5,3,2,3,0
1,0,0,6,1,0,1,1,4,1,0,0,1,1,2,2,3,10,6,2,5,2,5,0,4,0,0
0,1,1,5,1,1,1,1,4,1,1,2,1,1,1,0,3,7,6,3,2,2,5,3,4,1,1
0,1,0,5,0,1,1,1,4,1,0,3,0,1,0,0,3,8,6,3,3,3,5,2,4,1,1
0,0,0,7,0,0,1,1,3,1,0,0,1,0,2,1,3,10,6,2,3,0,5,3,4,1,0
0,1,0,3,0,0,1,1,4,1,1,0,-1,1,2,2,3,10,6,3,5,2,5,3,4,3,0
0,0,1,8,1,1,1,1,5,1,1,3,1,0,3,3,1,7,1,2,1,1,2,0,1,0,0
1,0,1,2,0,0,0,0,8,1,0,2,0,1,2,0,2,8,6,0,5,0,0,2,4,3,0
1,1,0,6,0,0,1,1,3,1,1,1,1,1,0,1,0,10,5,3,3,3,5,3,1,3,0
0,1,0,2,0,1,1,0,6,1,1,1,0,2,0,0,3,3,6,2,0,4,1,1,2,0,2
1,1,0,10,0,0,0,1,16,1,1,0,2,2,2,3,1,10,0,0,5,1,4,3,0,3,0
0,1,-1,3,0,0,0,1,23,0,0,3,0,2,2,0,2,10,6,0,5,2,4,3,4,3,0
0,0,1,10,0,1,0,0,12,1,1,4,2,1,2,1,0,10,3,0,5,0,1,3,0,3,0
0,1,0,6,0,1,0,1,12,1,0,1,0,1,-1,1,2,10,6,0,2,5,5,3,4,2,2
0,0,1,6,0,1,1,1,12,1,1,3,2,1,1,1,3,8,6,2,0,3,5,3,4,0,2
0,1,0,2,0,0,0,1,14,1,1,0,0,1,1,0,2,4,6,0,0,0,3,1,4,0,0
1,0,0,5,0,0,1,1,25,1,0,4,0,1,2,0,0,5,6,1,2,0,5,2,4,1,0
0,1,0,8,0,1,1,1,2,1,0,0,2,0,3,3,0,10,3,3,5,1,3,3,3,3,0
0,0,0,5,1,1,1,1,11,1,0,2,0,1,0,0,3,9,6,1,4,5,3,3,3,3,1
0,1,0,4,0,0,1,0,6,1,1,2,0,2,1,0,1,7,5,1,2,3,5,2,2,2,2
0,1,0,6,1,0,1,0,4,1,1,4,2,0,3,3,0,9,6,2,5,0,5,3,4,3,0
0,1,0,4,1,0,1,1,16,1,0,2,0,1,3,1,0,4,6,3,0,1,4,3,4,0,1
0,0,0,6,0,0,1,1,4,1,1,0,1,1,3,2,3,8,6,2,5,1,5,3,4,3,1
0,1,-1,10,0,0,0,1,3,0,0,3,2,2,2,1,3,10,2,0,5,0,5,3,4,3,0
1,1,1,5,0,1,1,1,4,1,1,2,0,0,2,2,3,10,6,3,5,2,5,3,4,3,1
0,0,1,6,0,0,0,0,4,1,1,5,1,0,3,3,0,2,1,0,1,1,1,0,1,1,0
0,0,0,9,1,1,1,1,4,1,0,2,2,0,2,2,2,8,6,2,5,3,3,3,3,3,2
0,1,0,3,0,0,0,1,4,1,1,1,-1,0,2,0,0,10,6,0,5,0,5,3,3,3,0
1,1,1,6,0,0,1,1,12,1,0,4,1,1,3,1,1,6,5,1,2,3,5,1,1,1,2
1,0,0,4,0,0,0,1,6,1,0,0,-1,1,2,1,0,10,6,2,5,1,5,3,4,3,0
0,1,0,8,1,0,1,1,12,1,0,4,1,2,3,1,1,8,6,1,0,5,4,3,2,0,2
1,1,0,5,1,1,1,1,14,1,0,4,2,1,3,2,2,6,6,3,3,3,5,3,4,2,2
1,1,0,4,0,0,1,1,4,1,1,3,0,1,3,0,0,10,6,3,0,3,5,3,4,0,2
0,1,0,9,0,1,0,1,4,1,1,3,2,0,-1,3,0,10,6,0,0,5,5,2,4,0,2
1,1,0,7,0,0,1,1,16,1,0,3,1,2,3,0,2,4,5,1,2,0,4,1,2,2,0
0,1,-1,10,0,1,1,1,16,0,0,4,0,1,0,0,1,10,3,0,3,3,5,3,3,3,1
0,1,1,7,1,1,1,1,6,1,1,3,1,1,1,0,3,10,6,1,5,5,5,2,4,0,2
0,1,0,8,0,1,0,1,4,1,1,2,1,1,0,1,2,9,6,0,1,5,4,3,4,0,2
1,1,0,6,0,0,0,1,16,1,0,4,0,1,2,1,3,10,6,1,5,1,5,3,4,3,0
0,1,0,6,0,0,1,1,4,1,1,2,2,0,3,3,3,10,6,3,5,1,5,3,4,3,1
1,0,0,6,1,0,0,0,24,1,1,3,0,0,0,3,3,8,3,1,1,5,4,0,1,0,2
0,1,0,5,1,0,0,1,16,1,0,0,0,0,2,2,1,10,6,1,5,1,5,3,4,3,1
1,1,0,4,0,0,0,0,16,1,0,3,2,1,4,2,3,3,6,1,0,0,5,0,1,0,0
0,1,-1,5,0,0,0,0,16,0,0,1,0,1,2,0,2,0,6,0,4,0,2,0,4,3,0
1,1,0,6,1,0,1,0,16,1,0,3,0,1,0,1,2,7,2,0,3,3,2,2,1,1,1
0,0,-1,4,0,0,0,1,17,0,0,2,0,1,0,3,0,6,6,0,3,4,5,0,4,2,2
0,1,-1,5,0,0,0,0,4,0,0,1,0,2,-1,3,0,9,0,0,5,0,0,3,0,3,0
1,1,1,5,1,0,1,0,17,1,0,5,0,0,0,0,2,5,2,2,0,3,3,1,1,0,2
0,1,-1,6,0,0,0,1,14,0,0,1,1,0,2,0,3,8,6,0,3,5,5,1,2,0,2
0,1,0,10,0,1,1,1,16,1,1,3,2,1,1,2,3,10,4,2,3,5,5,3,4,3,2
0,1,0,4,0,0,0,0,4,1,0,2,0,1,2,1,3,8,5,0,5,0,4,3,2,3,0
0,1,-1,3,0,0,1,1,16,0,0,0,0,2,-1,0,1,5,4,1,1,3,2,1,3,0,1
0,1,0,5,0,1,0,1,6,1,0,0,0,1,0,1,1,6,6,1,1,4,5,3,3,0,2
1,0,0,9,1,0,1,0,14,1,1,4,2,0,3,1,0,7,6,3,2,0,4,0,4,0,0
0,1,0,6,0,1,0,0,18,1,0,0,1,1,-1,1,1,7,0,1,0,3,1,2,0,0,2
1,0,0,8,1,0,1,1,14,1,0,0,0,0,3,2,0,10,6,3,5,2,5,3,4,3,1
0,0,0,-1,0,0,1,1,10,1,0,3,2,1,3,3,0,9,6,3,1,5,5,3,4,1,2
0,1,0,5,0,0,0,0,3,1,1,3,0,0,-1,3,1,4,6,2,0,5,1,3,1,0,2
0,0,0,7,0,0,0,1,5,1,1,3,1,0,-1,1,3,5,0,0,1,3,1,1,1,0,2
0,1,0,3,0,0,0,1,5,1,1,2,0,1,0,0,3,3,1,0,0,3,1,1,1,0,2
0,1,0,2,0,0,0,1,3,1,1,1,0,0,2,0,1,10,3,0,5,0,5,3,2,3,0
0,0,0,6,0,0,0,1,3,1,0,0,0,1,0,0,0,10,6,0,5,4,5,3,3,3,2
0,1,0,7,1,0,1,0,8,1,1,1,2,2,3,3,2,6,3,3,3,0,1,2,1,0,0
0,0,0,7,0,0,1,1,14,1,0,1,1,2,2,2,1,10,3,1,4,2,5,3,3,2,1
0,0,0,4,0,0,0,1,21,1,1,2,0,2,2,1,1,10,6,2,5,0,3,2,2,3,0
0,1,0,4,0,0,1,1,4,1,1,0,1,0,3,1,3,10,2,3,5,3,5,2,2,3,0
1,1,-1,3,0,0,0,1,16,0,0,0,0,1,2,0,0,10,5,1,5,1,5,3,2,3,0
0,1,1,6,1,0,1,0,4,1,1,3,0,1,3,3,3,8,5,3,2,5,3,3,0,1,1
1,1,0,2,0,0,1,1,15,1,1,1,0,2,2,0,0,5,5,0,4,2,2,3,3,3,1
0,0,0,5,0,1,0,1,14,1,1,0,0,0,1,2,2,10,6,1,5,5,5,3,4,3,2
0,1,0,4,0,0,0,1,14,1,1,0,-1,1,2,1,0,5,4,0,4,1,3,3,3,3,1
0,1,-1,5,1,0,1,0,12,0,0,1,-1,1,2,1,0,10,6,3,1,4,5,3,4,0,2
0,1,0,5,0,0,0,0,3,1,0,4,0,1,2,0,1,10,6,0,5,1,5,3,3,3,0
0,1,0,6,1,1,1,1,17,1,0,3,0,0,1,1,1,9,6,3,1,2,5,2,4,1,2
0,1,0,7,0,0,1,1,6,1,0,0,1,2,2,2,0,10,4,2,5,3,5,3,1,3,2
1,1,0,7,1,0,0,1,5,1,0,4,1,1,2,3,0,9,6,1,4,2,5,3,4,3,0
0,1,0,8,0,0,0,1,9,1,0,2,1,1,2,1,0,10,6,0,5,1,5,3,4,3,1
0,1,0,6,0,0,1,1,4,1,0,3,1,0,2,1,3,3,4,0,3,1,1,3,3,3,0
1,1,-1,5,0,0,0,1,4,0,0,2,-1,2,2,0,3,10,6,0,5,3,5,3,4,3,2
0,0,0,4,0,0,0,1,20,1,1,0,2,0,3,3,2,10,5,1,5,4,2,2,3,3,2
0,0,0,9,0,1,1,1,5,1,1,3,2,0,3,3,0,5,1,2,0,3,2,1,1,0,1
1,1,0,8,0,0,0,1,3,1,0,2,2,2,0,1,3,5,6,0,2,5,4,2,2,2,2
1,0,0,10,0,1,1,1,6,1,1,2,2,1,2,1,0,10,6,3,5,0,5,3,4,3,0
0,1,0,10,0,0,0,1,14,1,0,1,2,1,2,3,0,10,5,1,5,1,5,3,2,3,2
1,1,0,9,0,1,0,1,21,1,0,2,0,0,2,1,0,10,6,1,5,5,5,3,4,3,1
0,1,0,7,1,0,1,1,16,1,0,1,1,1,2,3,3,10,6,3,5,0,5,3,4,3,0
0,1,0,8,1,0,0,0,16,1,0,2,0,1,2,3,1,10,6,3,3,1,5,3,4,2,1
0,1,1,8,1,1,1,0,4,1,1,4,1,1,-1,2,3,8,6,3,2,5,5,2,3,1,2
0,1,0,9,0,0,1,1,11,1,1,3,2,0,3,2,1,10,6,2,5,5,3,3,4,2,2
1,0,0,9,0,1,0,0,4,1,0,4,2,1,1,1,0,6,2,0,1,4,1,1,1,0,2
1,1,0,4,0,1,1,1,3,1,1,1,0,1,3,3,3,7,6,3,0,2,5,2,4,0,1
