CMS Certification Number (CCN),Provider Name,Phone,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,address,match,lat,lon
17082,CV HOME HEALTH OF BIBB COUNTY,2059263211,Yes,Yes,No,No,No,Yes,"225 EAGLE CREST DRIVE, RANGELY, CO, 81648",True,40.080296,-108.80712
17084,KINDRED AT HOME,3348726637,Yes,Yes,Yes,Yes,Yes,Yes,"125 NORTH BROADWAY SUITE 1B, TURLOCK, CA, 95380",True,37.493515,-120.84807
17085,COOSA VALLEY HOMECARE,2562080087,Yes,Yes,Yes,Yes,Yes,Yes,"51 W 84TH AVE #411, THORNTON, CO, 80260",False,,
17086,ALABAMA HOMECARE,3346829050,Yes,Yes,Yes,Yes,Yes,Yes,"3636 BIRCH STREET, NEWPORT BEACH, CA, 92660",True,33.661865,-117.87263
17088,FAYETTE MEDICAL CENTER HOMECARE,2059325961,Yes,Yes,Yes,Yes,Yes,Yes,"2478 PATTERSON RD #10, GRAND JUNCTION, CO, 81505",True,39.091892,-108.59326
17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,2567372831,Yes,Yes,Yes,No,Yes,Yes,"200 W CENTER STREET PROMENADE, ANAHEIM, CA, 92805",False,,
17090,KINDRED AT HOME,2518432808,Yes,Yes,No,No,No,Yes,"614 S 10TH AVE, STERLING, CO, 80751",True,40.620716,-103.22694
17091,HALE COUNTY HOSPITAL HOME HEALTH,3346243066,Yes,Yes,Yes,Yes,No,Yes,"4311 THIRD AVENUE, SAN DIEGO, CA, 92103",True,32.755688,-117.1622
17092,ENCOMPASS HEALTH HOME HEALTH,2053678111,Yes,Yes,No,Yes,No,Yes,"1160 LAKE PLAZA DRIVE SUITE 100, COLORADO SPRINGS, CO, 80903",True,38.79405,-104.80727
17093,DEKALB REGIONAL HOME HEALTH,2565242411,Yes,Yes,Yes,Yes,Yes,Yes,"6626 CLARK ROAD, PARADISE, CA, 95969",True,39.77667,-121.59156
17094,CHEROKEE HOME HEALTH,2569271144,Yes,Yes,Yes,No,Yes,Yes,"111 6TH STREET, HUGO, CO, 80821",True,39.137897,-103.47395
17095,ATHENS-LIMESTONE HOMECARE,2562339533,Yes,Yes,Yes,Yes,Yes,Yes,"1544 MARKET STREET, REDDING, CA, 96001",True,40.583885,-122.39064
17096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,3344034520,Yes,Yes,Yes,Yes,Yes,Yes,"208 N MAIN ST, ROCKY FORD, CO, 81067",False,,
17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",2563540077,Yes,Yes,Yes,No,Yes,Yes,"889 11TH STREET, LAKEPORT, CA, 95453",True,39.049026,-122.92302
17100,MARION REGIONAL HOMECARE,2059210391,Yes,Yes,Yes,Yes,Yes,Yes,"401 KENDALL DRIVE, LAMAR, CO, 81052",True,38.069096,-102.61015
17103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,3342890701,Yes,Yes,Yes,Yes,No,Yes,"3413 PACIFIC AVENUE, BURBANK, CA, 91505",True,34.18837,-118.347885
17104,HIGHLANDS HOME HEALTH,2562594840,Yes,Yes,Yes,Yes,No,Yes,"7150 CAMPUS DR STE 160, COLORADO SPRINGS, CO, 80920",True,38.934902,-104.81081
17106,EVERGREEN HOME CARE,2515786800,Yes,Yes,No,No,No,Yes,"9912 BUSINESS PARK DRIVE, SACRAMENTO, CA, 95827",True,38.57201,-121.32831
17107,SUNCREST HOME HEALTH,2052804663,Yes,Yes,Yes,Yes,Yes,Yes,"720 N MAIN ST #400, PUEBLO, CO, 81003",True,38.273655,-104.60863
17109,NORTHWEST HOME HEALTH - HALEYVILLE,2054857341,Yes,Yes,Yes,Yes,No,Yes,"281 HARVEY DRIVE UNIT A, GLENDALE, CA, 91206",True,34.149837,-118.227196
17112,JACKSON MEDICAL CENTER HOME HEALTH,2512470424,Yes,Yes,No,Yes,No,Yes,"1160 LAKE PLAZA DR STE 255, COLORADO SPRINGS, CO, 80906",True,38.79405,-104.80727
17115,GADSDEN REGIONAL HOME HEALTH,2565382273,Yes,Yes,Yes,Yes,No,Yes,"5805 SEPULVEDA BLVD SUITE 605, VAN NUYS, CA, 91411",True,34.17609,-118.46618
17116,IVY CREEK HOME HEALTH OF ELMORE,3345677710,Yes,Yes,Yes,Yes,No,Yes,"10697 E DARTMOUTH AVENUE, AURORA, CO, 80014",True,39.660282,-104.86298
17117,LAKE MARTIN HOME HEALTH,2568257050,Yes,Yes,Yes,Yes,No,Yes,"980 TRANCAS ST, NAPA, CA, 94558",True,38.323647,-122.29528
17118,"AMEDISYS HH, A LAWRENCE MEDICAL CENTER PARTNER",2569742200,Yes,Yes,Yes,Yes,Yes,Yes,"6850 E EVANS AVE #101, DENVER, CO, 80224",True,39.67845,-104.90902
17119,HUNTSVILLE HOSPITAL HOMECARE,2569226650,Yes,Yes,Yes,Yes,Yes,Yes,"1390 E LASSEN AVE, CHICO, CA, 95973",True,39.773014,-121.83891
17121,KINDRED AT HOME,3342222172,Yes,Yes,Yes,Yes,No,Yes,"3691 PARKER BLVD STE 210, PUEBLO, CO, 81008",True,38.311146,-104.659805
17123,EAMC - LANIER HOME HEALTH,3347561950,Yes,Yes,Yes,Yes,Yes,Yes,"1455 SOUTH  AUTO CENTER DRIVE STE 150, ONTARIO, CA, 91761",True,34.046707,-117.54621
17124,DALE MEDICAL CENTER HOME HEALTH,3347740750,Yes,Yes,No,No,Yes,Yes,"2095 W 6TH AVE SUITE #209, BROOMFIELD, CO, 80020",True,39.92683,-105.094894
17125,KELLER HOME CARE,2563562273,Yes,Yes,Yes,Yes,Yes,Yes,"10 CONSTITUTION DRIVE, CHICO, CA, 95973",True,39.77144,-121.87416
17128,MEDICAL CENTERS HOMECARE,2568785811,Yes,Yes,Yes,Yes,Yes,Yes,"88 RYDERS LANE, STRATFORD, CT, 6497",False,,
17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,3348263131,Yes,Yes,Yes,Yes,Yes,Yes,"1316 CELESTE DRIVE, MODESTO, CA, 95355",True,37.671856,-120.975174
17130,INFIRMARY HOMECARE,2512626477,Yes,Yes,No,No,Yes,Yes,"8 KEYNOTE DRIVE, VERNON, CT, 6066",True,41.833927,-72.46761
17132,NURSE ON CALL,2052740720,Yes,Yes,Yes,Yes,No,No,"1600 D STREET, BAKERSFIELD, CA, 93301",True,35.372456,-119.02586
17134,LHC HOMECARE OF SOUTH ALABAMA,3344932087,Yes,Yes,Yes,Yes,Yes,Yes,"101 PHOENIX  AVENUE, ENFIELD, CT, 6082",True,41.97662,-72.58136
17135,COMMUNITY HOME HEALTH,3342836541,Yes,Yes,Yes,Yes,Yes,Yes,"9245 HIGHWAY 53, LOWER LAKE, CA, 95457",True,38.915573,-122.61231
17136,RELIABLE HOME HEALTH,3343762286,Yes,Yes,No,No,No,Yes,"753 BOSTON POST ROAD, GUILFORD, CT, 6437",True,41.28882,-72.675606
17138,L V STABLER MEMORIAL HOME HEALTH,3343832286,Yes,Yes,No,No,Yes,Yes,"60 EASTER AVENUE, WEAVERVILLE, CA, 96093",True,40.737698,-122.939926
17140,THE HOSPITAL HOME HEALTH,3343353374,Yes,Yes,Yes,Yes,No,Yes,"866 BOSTON POST ROAD, WESTBROOK, CT, 6498",True,41.28093,-72.45834
17142,ATMORE COMMUNITY HOME CARE,2513686286,Yes,Yes,No,No,No,Yes,"450 WEST LOCKE STREET, ASHDOWN, AR, 71822",True,33.66959,-94.13488
17143,D W MCMILLAN HOME HEALTH,2518675054,Yes,Yes,Yes,No,Yes,Yes,"1415 E COLORADO STREET, GLENDALE, CA, 91205",True,34.14278,-118.23352
17145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,2058847202,Yes,Yes,Yes,Yes,Yes,Yes,"ONE LONG WHARF DRIVE, NEW HAVEN, CT, 6511",False,,
17146,NORTHWEST HOME HEALTH,2563310006,Yes,Yes,No,No,No,Yes,"204 BRAGG STREET, WARREN, AR, 71671",True,33.613556,-92.0775
17147,PRIME HOME HEALTH OF LEE COUNTY,3347457966,Yes,Yes,Yes,Yes,Yes,Yes,"820 N PHILLIPS AVE, WEST COVINA, CA, 91791",True,34.085876,-117.90552
17148,THOMAS HOME HEATLH,2519909200,Yes,Yes,Yes,Yes,Yes,Yes,"403 N FRONTAGE ROAD, WATERFORD, CT, 6385",True,41.369873,-72.11807
17149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,2053132800,Yes,Yes,Yes,Yes,Yes,Yes,"3024 RED WOLF BLVD, JONESBORO, AR, 72401",False,,
17151,KINDRED AT HOME,2568357101,Yes,Yes,Yes,Yes,Yes,Yes,"420 N MONTEBELLO BLVD SUITE 203, MONTEBELLO, CA, 90640",False,,
17152,KINDRED AT HOME,2562494363,Yes,Yes,Yes,Yes,Yes,Yes,"240 KENSINGTON RD, BERLIN, CT, 6037",True,41.627613,-72.7706
17300,AMEDISYS HOME HEALTH OF TUSCALOOSA,8662978253,Yes,Yes,Yes,Yes,Yes,Yes,"106 RIDGEWAY STREET, HOT SPRINGS, AR, 71901",True,34.494083,-93.03556
17305,AMEDISYS HOME HEALTH OF ANNISTON,2568202503,Yes,Yes,Yes,Yes,Yes,Yes,"700 RIVER DRIVE, FORT BRAGG, CA, 95437",True,39.43246,-123.80078
17307,KINDRED AT HOME,3342976900,Yes,Yes,Yes,Yes,Yes,Yes,"765 FAIRFIELD AVE, BRIDGEPORT, CT, 6604",True,41.174583,-73.19978
17319,AMEDISYS HOME HEALTH OF MONTGOMERY,3342720313,Yes,Yes,Yes,Yes,Yes,Yes,"432 COUNTRY CLUB ROAD, POCAHONTAS, AR, 72455",True,36.29364,-90.996574
17320,AMEDISYS HOME HEALTH OF SELMA,3348752550,Yes,Yes,Yes,Yes,Yes,Yes,"1661 HANOVER RD., CITY OF INDUSTRY, CA, 91748",True,33.990902,-117.92099
17323,MONROE CO HOSP PROGRESSIVE HOM,2517437328,Yes,Yes,Yes,No,No,Yes,"607 BANTAM ROAD, BANTAM, CT, 6750",True,41.724255,-73.225426
17831,GENEVA COUNTY HOME CARE,3346842259,Yes,Yes,No,No,Yes,Yes,"1200 WEST WALNUT STREET, ROGERS, AR, 72756",True,36.333755,-94.13289
17876,LAWRENCE COUNTY HOME CARE,2569747076,Yes,Yes,No,No,Yes,Yes,"1345 WHISPERING PINES LANE, GRASS VALLEY, CA, 95945",True,39.22225,-121.03924
27001,PROVIDENCE IN HOME SERVICES,9075630130,Yes,Yes,Yes,Yes,Yes,Yes,"1290 SILAS DEANE HIGHWAY, WETHERSFIELD, CT, 6109",True,41.685474,-72.6548
27002,HOSPICE & HOME CARE OF JUNEAU,9074633113,Yes,Yes,Yes,Yes,Yes,Yes,"835 CENTRAL AVENUE, HOT SPRINGS, AR, 71901",True,34.508293,-93.05445
27006,FAIRBANKS MEMORIAL HOSPITAL HHA,9074585410,Yes,Yes,No,No,Yes,Yes,"9221 CORBIN AVE, NORTHRIDGE, CA, 91324",True,34.23785,-118.56232
27007,SEARHC SITKA HOME HEALTH AGENCY,9077471750,Yes,Yes,Yes,Yes,No,Yes,"68 PARK LANE RD, NEW MILFORD, CT, 6776",True,41.598778,-73.406845
27008,ANCORA HOME HEALTH & HOSPICE,9073524800,Yes,Yes,Yes,Yes,Yes,Yes,"1100 EAST POPLAR STREET, CLARKSVILLE, AR, 72830",True,35.464394,-93.44576
27009,PETERSBURG MEDICAL CENTER HOME,9077724291,Yes,Yes,Yes,Yes,No,No,"6601 WHITE FEATHER ROAD SUITE A5, JOSHUA TREE, CA, 92252",True,34.13127,-116.27675
27010,SOUTH PENINSULA HOSPITAL HHA,9072350369,Yes,Yes,Yes,Yes,Yes,Yes,"741 COLONEL  LEDYARD HWY, LEDYARD, CT, 6339",True,41.44298,-72.017334
27014,PEACEHEALTH KETCHIKAN MEDICAL CENTER HOME HEALTH,9072287600,Yes,Yes,Yes,Yes,Yes,Yes,"333 SOUTH FIRST STREET, PARIS, AR, 72855",False,,
27020,"1ST CHOICE HOME HEALTH CARE, INC",9072605959,Yes,Yes,Yes,Yes,Yes,No,"375 LAGUNA HONDA BLVD, SAN FRANCISCO, CA, 94116",True,37.747128,-122.459
27022,FRONTIER HOME HEALTH,9072721275,Yes,Yes,Yes,Yes,Yes,Yes,"1579 CLYDE HAWKINS DRIVE, WALDRON, AR, 72958",True,34.88621,-94.088776
37015,BANNER HOME CARE AZ,4806571000,Yes,Yes,Yes,Yes,Yes,Yes,"27 GOVERNOR STREET, RIDGEFIELD, CT, 6877",True,41.280533,-73.49702
37016,INTERIM HEALTHCARE,5207471800,Yes,Yes,Yes,Yes,Yes,Yes,"44335 LOWTREE AVENUE, LANCASTER, CA, 93534",True,34.688644,-118.154
37020,HOSPICE OF THE VALLEY HOME HEALTH AGENCY,6025306900,Yes,Yes,Yes,Yes,Yes,Yes,"761 MAIN AVENUE, NORWALK, CT, 6851",True,41.15842,-73.42053
37024,SCOTTSDALE HEALTHCARE HOME HEALTH,4808824222,Yes,Yes,Yes,Yes,Yes,Yes,"257 AIRPORT ROAD, OZARK, AR, 72949",False,,
37027,SUMMIT HEALTHCARE HOME HEALTH,9285376900,Yes,Yes,No,No,Yes,Yes,"23326 HAWTHORNE BLVD SUITE 100 A, TORRANCE, CA, 90505",True,33.814484,-118.35099
37030,"BAYADA HOME HEALTH CARE, INC.",9287595900,Yes,Yes,Yes,Yes,Yes,Yes,"605A ORANGE CENTER RD, ORANGE, CT, 6477",False,,
37036,KINDRED AT HOME,5207311333,Yes,Yes,Yes,Yes,Yes,Yes,"600 SEVENTH STREET, MENA, AR, 71953",True,34.583893,-94.2389
37037,KINDRED AT HOME,6029920709,Yes,Yes,Yes,Yes,Yes,Yes,"914 N GLENDALE AVE, GLENDALE, CA, 91206",True,34.15897,-118.23973
37042,NORTHERN ARIZONA HOME HEALTH,9286396674,Yes,Yes,Yes,No,Yes,Yes,"61 MAIN ST, CENTERBROOK, CT, 6409",False,,
37047,NORTHERN ARIZONA HOME HEALTH,9287732238,Yes,Yes,Yes,No,No,Yes,"428 MEDICAL CENTER PARKWAY, CLINTON, AR, 72031",True,35.557938,-92.453384
37050,KINGMAN REGIONAL MEDICAL CENTER HOME HEALTH,9287570630,Yes,Yes,Yes,Yes,Yes,Yes,"12200 BELLFLOWER BLVD, DOWNEY, CA, 90242",True,33.92254,-118.12538
37057,HAVASU REGIONAL MEDICAL CENTER HOME HEALTH,9286801209,Yes,Yes,Yes,Yes,Yes,Yes,"27 SIEMON COMPANY DRIVE, WATERTOWN, CT, 6795",False,,
37068,"BAYADA HOME HEALTH CARE, INC.",6028706364,Yes,Yes,Yes,Yes,Yes,Yes,"110 EAST GAINS, MONTICELLO, AR, 71657",False,,
37070,"DEPENDABLE HOME HEALTH, INC",5207213822,Yes,Yes,Yes,Yes,Yes,Yes,"10605 BALBOA BLVD SUITE 330, GRANADA HILLS, CA, 91344",True,34.262527,-118.5023
37099,EDEN HOME HEALTH,3608926628,Yes,Yes,Yes,No,Yes,Yes,"770 SAYBROOK ROAD, MIDDLETOWN, CT, 6457",True,41.53688,-72.615974
37101,FOUNDATION FOR SENIOR LIVING HOME HEALTH AGENCY,6022851800,Yes,Yes,Yes,Yes,Yes,Yes,"3050 TWIN RIVERS DRIVE, ARKADELPHIA, AR, 71923",True,34.124817,-93.086205
37106,AMEDISYS HOME HEALTH CARE,6022000835,Yes,Yes,Yes,Yes,Yes,Yes,"8010 PARKWAY DRIVE, LA MESA, CA, 91942",True,32.774506,-117.02583
37112,INTREPID USA HEALTHCARE SERVICES,5297420272,Yes,Yes,Yes,Yes,Yes,Yes,"100 SAW MILL ROAD, DANBURY, CT, 6810",True,41.377625,-73.53334
37114,BANNER HOME CARE - PAYSON,9284725245,Yes,Yes,Yes,No,No,Yes,"30 RYAN ROAD, COTTER, AR, 72626",True,36.28553,-92.51443
37118,NURSECORE OF TUCSON,5207912300,Yes,No,No,No,No,Yes,"17542 E 17TH STREET, TUSTIN, CA, 92780",False,,
37125,"NSI NURSING SERVICE, INC.",5207311117,Yes,Yes,No,No,No,Yes,"32 UNION ST, WINSTED, CT, 6098",True,41.921352,-73.07218
37129,"DEPENDABLE HOME HEALTH, INC.",5207613211,Yes,No,No,No,No,Yes,"4019 MASSARD ROAD, FORT SMITH, AR, 72903",True,35.343067,-94.3407
37130,"BAYADA HOME HEALTH CARE, INC",5205442300,Yes,Yes,Yes,Yes,Yes,Yes,"22041 CLARENDON STREET SUITE 100, WOODLAND HILLS, CA, 91367",True,34.169647,-118.606766
37132,MD HOME HEALTH,6022669971,Yes,Yes,Yes,Yes,Yes,Yes,"32 S MAIN STREET, PUTNAM, CT, 6260",True,41.914577,-71.908554
37139,KINDRED AT HOME,9284452522,Yes,Yes,Yes,Yes,Yes,Yes,"1048 SOUTH 48TH STREET, SPRINGDALE, AR, 72762",True,36.17721,-94.185616
37144,"SACRED HEART HOME CARE, INC",5205774630,Yes,Yes,Yes,Yes,Yes,Yes,"323 N PRAIRIE AVE  SUITE 425, INGLEWOOD, CA, 90301",False,,
37146,MOHAVE HOME HEALTH,9287633184,Yes,Yes,Yes,No,Yes,Yes,"30A  SALMON KILL RD, SALISBURY, CT, 6068",True,41.975204,-73.4211
37154,NNI HOME CARE SERVICES,9287728707,Yes,Yes,Yes,Yes,Yes,Yes,"105 EAST CRANDALL AVENUE, HARRISON, AR, 72601",True,36.238186,-93.106606
37162,NURSING SOLUTIONS,6023311100,Yes,Yes,Yes,Yes,Yes,No,"8273 WHITE OAK AVENUE SUITE 110, RANCHO CUCAMONGA, CA, 91730",True,34.10288,-117.56411
37178,"HORIZON HOME HEALTH, LLC",9286459110,Yes,Yes,Yes,Yes,Yes,Yes,"604B WEST BOLLING STREET, MONTICELLO, AR, 71655",True,33.62101,-91.80031
37179,COPPER VALLEY HOME HEALTH,5204327450,Yes,Yes,Yes,No,No,Yes,"70 STONY HILL ROAD, BETHEL, CT, 6801",True,41.41431,-73.37975
37185,"BAYADA HOME HEALTH CARE, INC.",6239795266,Yes,Yes,Yes,Yes,Yes,Yes,"10066 E ROSECRANS AVE, BELLFLOWER, CA, 90706",True,33.902016,-118.118614
37188,NIGHTINGALE HOMECARE,6025041555,Yes,Yes,Yes,Yes,Yes,Yes,"100 DOUBLE BEACH ROAD, BRANFORD, CT, 6405",True,41.256805,-72.83386
37192,AMEDISYS HOME HEALTH,9283411300,Yes,Yes,Yes,Yes,Yes,Yes,"200 NORTH SECOND, PARAGOULD, AR, 72450",False,,
37199,ARIZONA HOME CARE,6022525000,Yes,Yes,Yes,Yes,Yes,Yes,"11700 SOUTH STREET SUITE 200, ARTESIA, CA, 90701",True,33.858433,-118.08451
37202,THEMA HEALTH SERVICES,6028884400,Yes,Yes,Yes,Yes,Yes,Yes,"111 FOUNDERS PLAZA, EAST HARTFORD, CT, 6108",False,,
37204,AVEANNA HEALTHCARE,6024331200,Yes,Yes,Yes,Yes,No,No,"275 EAST GERMANN ROAD, GILBERT, AZ, 85297",True,33.278034,-111.56164
37205,NURSECORE OF PHOENIX,6022743400,Yes,No,No,No,No,Yes,"209 SOUTH MAIN STREET, HOPE, AR, 71801",True,33.667793,-93.591835
37206,NURSING SOLUTIONS OF SOUTHERN ARIZONA,5208866620,Yes,Yes,Yes,Yes,Yes,Yes,"206 N JACKSON ST, GLENDALE, CA, 91206",True,34.148476,-118.250084
37212,HEALTH AT HOME,4804139087,Yes,Yes,Yes,Yes,Yes,Yes,"231 FARMINGTON AVE, FARMINGTON, CT, 6032",False,,
37213,"BAYADA HOME HEALTH CARE, INC",5207218800,Yes,Yes,Yes,Yes,Yes,Yes,"5055 EAST BROADWAY, TUCSON, AZ, 85711",True,32.221664,-110.884636
37215,AT HOME HEALTHCARE,3372331307,Yes,Yes,Yes,No,Yes,No,"210 N STATE LINE AVENUE, TEXARKANA, AR, 71854",True,33.422108,-94.04307
47001,CHI ST VINCENT HEALTH AT HOME,5016644933,Yes,Yes,Yes,Yes,Yes,Yes,"11428 E ARTESIA BLVD SUITE 3, ARTESIA, CA, 90701",True,33.87298,-118.09023
47004,AR METH MED CTR HH,8702397152,Yes,Yes,No,Yes,Yes,Yes,"68 SOUTHFIELD AVENUE, STAMFORD, CT, 6902",True,41.03791,-73.54761
47006,CHI ST VINCENT HOT SPRINGS HEALTH AT HOME,5013186800,Yes,Yes,Yes,Yes,Yes,Yes,"1510 EAST FLOWER STREET, PHOENIX, AZ, 85014",True,33.48539,-112.04923
47008,SOUTHEAST ARKANSAS HOME HEALTH AGENCY,8702223806,Yes,Yes,Yes,No,No,Yes,"409 WEST FOUTH STREET, BRINKLEY, AR, 72021",False,,
47009,SPARKS HEALTH SYSTEM HOME HEALTH,4794415850,Yes,Yes,Yes,Yes,No,Yes,"3600 WILSHIRE BLVD SUITE 1734, LOS ANGELES, CA, 90010",True,34.06172,-118.30317
47010,AMEDISYS HOME HEALTH CARE OF ARKANSAS,4794744892,Yes,Yes,Yes,Yes,No,Yes,"309 SEASIDE AVE, MILFORD, CT, 6460",True,41.216766,-73.064095
